"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL5897275";"";"None";"313.36";"0";"2.78";"BDBM395824";"OC1(c2nc(-c3cc(OCC4CC4)c(C4CC4)cn3)no2)CC1";"EC50";"'='";"35.2";"nM";"7.45";"";"791117";"UO_0000065";"23.79";"0.44";"4.67";"9.17";"0";"CHEMBL5733952";"Radioligand Binding Assay: The affinity of the compounds of the invention for cannabinoid CB1 receptors was determined using recommended amounts of membrane preparations (PerkinElmer) of human embryonic kidney (HEK) cells expressing the human CNR1 or CNR2 receptors in conjunction with 1.5 or 2.6 nM [3H]-CP-55,940 (Perkin Elmer) as radioligand, respectively. Binding was performed in binding buffer (50 mM Tris, 5 mM MgCl2, 2.5 mM EDTA, and 0.5% (wt/vol) fatty acid free BSA, pH 7.4 for CB1 receptor and 50 mM Tris, 5 mM MgCl2, 2.5 mM EGTA, and 0.1% (wt/vol) fatty acid free BSA, pH 7.4 for CB2 receptor) in a total volume of 0.2 ml for 1 h at 30° C. shaking. The reaction was terminated by rapid filtration through microfiltration plates coated with 0.5% polyethylenimine (UniFilter GF/B filter plate; Packard). Bound radioactivity was analyzed for Ki using nonlinear regression analysis (Activity Base, ID Business Solution, Limited), with the Kd values for [3H]CP55,940 determined from saturation experiments. The compounds of formula (I) show an excellent affinity for the CB2 receptor with affinities below 10 μM, more particularly of 1 nM to 3 μM and most particularly of 1 nM to 100 nM.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL253";"Cannabinoid receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5727065";"37";"BindingDB Patent Bioactivity Data";"";"2019";"None";"";"";"";"35.2"
"CHEMBL6041292";"";"None";"325.29";"0";"3.83";"BDBM395873";"FC(F)(F)COc1cc(-c2noc(C3CC3)n2)ncc1C1CC1";"EC50";"'='";"45.4";"nM";"7.34";"";"791215";"UO_0000065";"22.57";"0.44";"3.51";"12.03";"0";"CHEMBL5733952";"Radioligand Binding Assay: The affinity of the compounds of the invention for cannabinoid CB1 receptors was determined using recommended amounts of membrane preparations (PerkinElmer) of human embryonic kidney (HEK) cells expressing the human CNR1 or CNR2 receptors in conjunction with 1.5 or 2.6 nM [3H]-CP-55,940 (Perkin Elmer) as radioligand, respectively. Binding was performed in binding buffer (50 mM Tris, 5 mM MgCl2, 2.5 mM EDTA, and 0.5% (wt/vol) fatty acid free BSA, pH 7.4 for CB1 receptor and 50 mM Tris, 5 mM MgCl2, 2.5 mM EGTA, and 0.1% (wt/vol) fatty acid free BSA, pH 7.4 for CB2 receptor) in a total volume of 0.2 ml for 1 h at 30° C. shaking. The reaction was terminated by rapid filtration through microfiltration plates coated with 0.5% polyethylenimine (UniFilter GF/B filter plate; Packard). Bound radioactivity was analyzed for Ki using nonlinear regression analysis (Activity Base, ID Business Solution, Limited), with the Kd values for [3H]CP55,940 determined from saturation experiments. The compounds of formula (I) show an excellent affinity for the CB2 receptor with affinities below 10 μM, more particularly of 1 nM to 3 μM and most particularly of 1 nM to 100 nM.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL253";"Cannabinoid receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5727065";"37";"BindingDB Patent Bioactivity Data";"";"2019";"None";"";"";"";"45.4"
"CHEMBL561013";"";"None";"341.45";"1";"6.22";"10, JWH-018";"CCCCCn1cc(C(=O)c2cccc3ccccc23)c2ccccc21";"EC50";"'='";"5.012";"nM";"8.30";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1832982";"Agonist activity at human CB2 receptor expressed in CHO cells assessed as increase of forskolin-stimulated cAMP accumulation after 20 mins";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL253";"Cannabinoid receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1828497";"1";"Scientific Literature";"Eur J Med Chem";"2011";"CHEMBL3308072";"";"";"";"8.3"
"CHEMBL1835220";"";"None";"488.59";"0";"2.54";"42";"CC(C)CN1C(=O)CN(Cc2ccc(-c3ccc(F)c(CN4CCS(=O)(=O)CC4)n3)cc2)C1=O";"EC50";"'='";"2.512";"nM";"8.60";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1837353";"Agonist activity at human recombinant CB2 receptor expressed in CHO cells assessed as inhibition of forskolin-induced cAMP formation after 45 mins by fluorescence assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL253";"Cannabinoid receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1833934";"1";"Scientific Literature";"J Med Chem";"2011";"CHEMBL3308072";"";"";"";"8.6"
"CHEMBL1835215";"";"None";"456.54";"0";"4.24";"37";"CC(C)CN1C(=O)CN(Cc2ccc(-c3ccc(F)c(CN4CCCC(F)C4)n3)cc2)C1=O";"EC50";"'='";"0.3981";"nM";"9.40";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1837353";"Agonist activity at human recombinant CB2 receptor expressed in CHO cells assessed as inhibition of forskolin-induced cAMP formation after 45 mins by fluorescence assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL253";"Cannabinoid receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1833934";"1";"Scientific Literature";"J Med Chem";"2011";"CHEMBL3308072";"";"";"";"9.4"
"CHEMBL1368569";"";"None";"459.57";"1";"5.18";"SID99303174";"CCN(CC)S(=O)(=O)c1ccc(NC(=O)c2cc(-c3ccccc3)nc3ccccc23)cc1";"EC50";"'>'";"32000.0";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1738621";"PUBCHEM_BIOASSAY: SAR analysis of agonists of the Cannabinoid Receptor 2 using an Image-Based Assay - Set 3. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2013, AID2026]";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL253";"Cannabinoid receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"32.0"
"CHEMBL1721827";"";"None";"370.52";"0";"3.18";"SID99303130";"Cc1nc(N2CCN(C(=O)C3CC3)CC2)c2c3c(sc2n1)CC(C)CC3";"EC50";"'>'";"32000.0";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1738621";"PUBCHEM_BIOASSAY: SAR analysis of agonists of the Cannabinoid Receptor 2 using an Image-Based Assay - Set 3. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2013, AID2026]";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL253";"Cannabinoid receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"32.0"
"CHEMBL1725618";"";"None";"345.20";"0";"4.23";"SID99303176";"Cc1[nH]nc(-c2ccc(O)cc2O)c1-c1ccc(Br)cc1";"EC50";"'>'";"32000.0";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1738621";"PUBCHEM_BIOASSAY: SAR analysis of agonists of the Cannabinoid Receptor 2 using an Image-Based Assay - Set 3. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2013, AID2026]";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL253";"Cannabinoid receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"32.0"
"CHEMBL1416169";"";"None";"487.57";"0";"4.81";"SID99303190";"O=C(Nc1ccc(S(=O)(=O)Nc2nccs2)cc1)c1cc(-c2ccncc2)nc2ccccc12";"EC50";"'>'";"32000.0";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1738621";"PUBCHEM_BIOASSAY: SAR analysis of agonists of the Cannabinoid Receptor 2 using an Image-Based Assay - Set 3. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2013, AID2026]";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL253";"Cannabinoid receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"32.0"
"CHEMBL3952055";"";"None";"618.59";"2";"7.28";"BDBM208402";"O=c1cc(NC2CCN(S(=O)(=O)c3ccccc3)CC2)c2cc(C(c3ccc(Cl)cc3)c3ccc(Cl)cc3)ccc2[nH]1";"EC50";"'>'";"10000.0";"nM";"";"";"368228";"UO_0000065";"";"";"";"";"0";"CHEMBL3888024";"cAMP Assay: The following mixtures and buffer solutions were prepared: (a) Buffer 1: HBSS (Mediatech Cat#21-023-CV) with 5 mM HEPES (1 mM stock, Gibco BRL Cat#15630-056) and 0.1% BSA (7.5% stock, Invitrogen Cat#15260-037); (b) Buffer 2: 0.5 mM IBMX (200 mM stock in DMSO, Sigma 15879) in Buffer 1; (c) 1 uM cAMP Standard (50 uM stock, Perkin Elmer Cat# AD0262) diluted in Buffer 2 and serially diluted in Buffer 2, 12 doses at 1/2 dilutions resulting in a dose range of 1 uM to 0.5 nM; (d) d2 labelled cAMP (CisBio HTRF Detection Kit Cat #62AM4PEB reconstituted with 6 ml dH2O) diluted 1/20 with lysis buffer (CisBio HTRF Detection Kit Cat #62AM4PEB); (e) anti-cAMP (CisBio HTRF Detection Kit Cat #62AM4PEB reconstituted with 5 ml dH2O) diluted 1/20 with lysis buffer (CisBio HTRF Detection Kit Cat #62AM4PEB); and (f) Forskolin (Sigma Cat# F6886, 10 mM in DMSO) diluted first in DMSO to 1 mM and then to 1.5 uM in Buffer 2.";"F";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL253";"Cannabinoid receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886543";"37";"BindingDB Patent Bioactivity Data";"";"2016";"None";"";"";"";"10000.0"
